dataset_date,org,agency,affiliation,talent_id,name,en_name,tag,tag_norm,tag_kind,source_label,source_url,source_type,confidence,notes
2026-05-30,nijisanji,ANYCOLOR,にじさんじ,nijisanji:小清水透,小清水透,Koshimizu Toru,#泡色模様,泡色模様,fanart,Fan Art,https://hololist.net/koshimizu-toru/,hololist,0.80,NIJISANJI official profile lacks fan-art hashtags; HoloList used as supplemental source
2026-05-30,nijisanji,ANYCOLOR,にじさんじ,nijisanji:山神カルタ,山神カルタ,Yamagami Karuta,#カルタの絵札,カルタの絵札,fanart,Fan Art,https://hololist.net/yamagami-karuta/,hololist,0.80,NIJISANJI official profile lacks fan-art hashtags; HoloList used as supplemental source
2026-05-30,nijisanji,ANYCOLOR,にじさんじ,nijisanji:弦月藤士郎,弦月藤士郎,Genzuki Tojiro,#上弦画,上弦画,fanart,Fan Art,https://hololist.net/genzuki-tojiro/,hololist,0.80,NIJISANJI official profile lacks fan-art hashtags; HoloList used as supplemental source
2026-05-30,nijisanji,ANYCOLOR,にじさんじ,nijisanji:御子神琴音,御子神琴音,Mikogami Kotone,#絵になる琴音,絵になる琴音,fanart,Fan Art,https://hololist.net/mikogami-kotone/,hololist,0.80,NIJISANJI official profile lacks fan-art hashtags; HoloList used as supplemental source
2026-05-30,nijisanji,ANYCOLOR,にじさんじ,nijisanji:愛園愛美,愛園愛美,Aizono Manami,#愛美術館,愛美術館,fanart,Fan Art,https://hololist.net/aizono-manami/,hololist,0.80,NIJISANJI official profile lacks fan-art hashtags; HoloList used as supplemental source
2026-05-30,nijisanji,ANYCOLOR,にじさんじ,nijisanji:戌亥とこ,戌亥とこ,Inui Toko,#いぬいらすと,いぬいらすと,fanart,Fan Art,https://hololist.net/inui-toko/,hololist,0.80,NIJISANJI official profile lacks fan-art hashtags; HoloList used as supplemental source
2026-05-30,nijisanji,ANYCOLOR,にじさんじ,nijisanji:文野環,文野環,Fumino Tamaki,#のらねっこあら,のらねっこあら,fanart,Fan Art,https://hololist.net/fumino-tamaki/,hololist,0.80,NIJISANJI official profile lacks fan-art hashtags; HoloList used as supplemental source
2026-05-30,nijisanji,ANYCOLOR,にじさんじ,nijisanji:早乙女ベリー,早乙女ベリー,Saotome Berry,#さおと名画,さおと名画,fanart,Fan Art,https://hololist.net/saotome-berry/,hololist,0.80,NIJISANJI official profile lacks fan-art hashtags; HoloList used as supplemental source
2026-05-30,nijisanji,ANYCOLOR,にじさんじ,nijisanji:早瀬走,早瀬走,Hayase Sou,#描かれて走,描かれて走,fanart,Fan Art,https://hololist.net/hayase-sou/,hololist,0.80,NIJISANJI official profile lacks fan-art hashtags; HoloList used as supplemental source
2026-05-30,nijisanji,ANYCOLOR,にじさんじ,nijisanji:明楽レイ,明楽レイ,Akira Ray,#Ray_art,ray_art,fanart,Fan Art,https://hololist.net/akira-ray/,hololist,0.80,NIJISANJI official profile lacks fan-art hashtags; HoloList used as supplemental source
2026-05-30,nijisanji,ANYCOLOR,にじさんじ,nijisanji:星導ショウ,星導ショウ,Hoshirube Sho,#ショウゾウ画,ショウゾウ画,fanart,Fan Art,https://hololist.net/hoshirube-sho/,hololist,0.80,NIJISANJI official profile lacks fan-art hashtags; HoloList used as supplemental source
2026-05-30,nijisanji,ANYCOLOR,にじさんじ,nijisanji:星川サラ,星川サラ,Hoshikawa Sara,#サラ星図,サラ星図,fanart,Fan Art,https://hololist.net/hoshikawa-sara/,hololist,0.80,NIJISANJI official profile lacks fan-art hashtags; HoloList used as supplemental source
2026-05-30,nijisanji,ANYCOLOR,にじさんじ,nijisanji:春崎エアル,春崎エアル,Harusaki Air,#絵アル,絵アル,fanart,Fan Art,https://hololist.net/harusaki-air/,hololist,0.80,NIJISANJI official profile lacks fan-art hashtags; HoloList used as supplemental source
2026-05-30,nijisanji,ANYCOLOR,にじさんじ,nijisanji:月ノ美兎,月ノ美兎,Tsukino Mito,#みとあーと,みとあーと,fanart,Fan Art,https://hololist.net/tsukino-mito/,hololist,0.80,NIJISANJI official profile lacks fan-art hashtags; HoloList used as supplemental source
2026-05-30,nijisanji,ANYCOLOR,にじさんじ,nijisanji:本間ひまわり,本間ひまわり,Honma Himawari,#ひまあーと,ひまあーと,fanart,Fan Art,https://hololist.net/honma-himawari/,hololist,0.80,NIJISANJI official profile lacks fan-art hashtags; HoloList used as supplemental source
2026-05-30,nijisanji,ANYCOLOR,にじさんじ,nijisanji:来栖夏芽,来栖夏芽,Kurusu Natsume,#なつめぇ画,なつめぇ画,fanart,Fan Art,https://hololist.net/kurusu-natsume/,hololist,0.80,NIJISANJI official profile lacks fan-art hashtags; HoloList used as supplemental source
2026-05-30,nijisanji,ANYCOLOR,にじさんじ,nijisanji:東堂コハク,東堂コハク,Todo Kohaku,#画ハク,画ハク,fanart,Fan Art,https://hololist.net/todo-kohaku/,hololist,0.80,NIJISANJI official profile lacks fan-art hashtags; HoloList used as supplemental source
2026-05-30,nijisanji,ANYCOLOR,にじさんじ,nijisanji:栞葉るり,栞葉るり,Shioriha Ruri,#栞葉書,栞葉書,fanart,Fan Art,https://hololist.net/shioriha-ruri/,hololist,0.80,NIJISANJI official profile lacks fan-art hashtags; HoloList used as supplemental source
2026-05-30,nijisanji,ANYCOLOR,にじさんじ,nijisanji:桜凛月,桜凛月,Sakura Ritsuki,#リツキあーと,リツキあーと,fanart,Fan Art,https://hololist.net/sakura-ritsuki/,hololist,0.80,NIJISANJI official profile lacks fan-art hashtags; HoloList used as supplemental source
2026-05-30,nijisanji,ANYCOLOR,にじさんじ,nijisanji:梢桃音,梢桃音,Kozue Mone,#桃音画,桃音画,fanart,Fan Art,https://hololist.net/kozue-mone/,hololist,0.80,NIJISANJI official profile lacks fan-art hashtags; HoloList used as supplemental source
2026-05-30,nijisanji,ANYCOLOR,にじさんじ,nijisanji:森中花咲,森中花咲,Morinaka Kazaki,#森中びじゅつかん,森中びじゅつかん,fanart,Fan Art,https://hololist.net/morinaka-kazaki/,hololist,0.80,NIJISANJI official profile lacks fan-art hashtags; HoloList used as supplemental source
2026-05-30,nijisanji,ANYCOLOR,にじさんじ,nijisanji:椎名唯華,椎名唯華,Shiina Yuika,#しいなーと,しいなーと,fanart,Fan Art,https://hololist.net/shiina-yuika/,hololist,0.80,NIJISANJI official profile lacks fan-art hashtags; HoloList used as supplemental source
2026-05-30,nijisanji,ANYCOLOR,にじさんじ,nijisanji:榊ネス,榊ネス,Sakaki Ness,#ネスストリーム,ネスストリーム,fanart,Fan Art,https://hololist.net/sakaki-ness/,hololist,0.80,NIJISANJI official profile lacks fan-art hashtags; HoloList used as supplemental source
2026-05-30,nijisanji,ANYCOLOR,にじさんじ,nijisanji:樋口楓,樋口楓,Higuchi Kaede,#でろあーと,でろあーと,fanart,Fan Art,https://hololist.net/higuchi-kaede/,hololist,0.80,NIJISANJI official profile lacks fan-art hashtags; HoloList used as supplemental source
2026-05-30,nijisanji,ANYCOLOR,にじさんじ,nijisanji:水面まどか,水面まどか,Minamo Madoka,#みなものみなもと,みなものみなもと,fanart,Fan art,https://hololist.net/minamo-madoka/,hololist,0.80,NIJISANJI official profile lacks fan-art hashtags; HoloList used as supplemental source
2026-05-30,nijisanji,ANYCOLOR,NIJISANJI EN,nijisanji:浮奇・ヴィオレタ,浮奇・ヴィオレタ,Uki Violeta,#VioletAtelier,violetatelier,fanart,Fan Art,https://hololist.net/uki-violeta/,hololist,0.80,NIJISANJI official profile lacks fan-art hashtags; HoloList used as supplemental source
2026-05-30,nijisanji,ANYCOLOR,にじさんじ,nijisanji:海妹四葉,海妹四葉,Umise Yotsuha,#Yotsuh_Art,yotsuh_art,fanart,Fan Art,https://hololist.net/umise-yotsuha/,hololist,0.80,NIJISANJI official profile lacks fan-art hashtags; HoloList used as supplemental source
2026-05-30,nijisanji,ANYCOLOR,にじさんじ,nijisanji:渋谷ハジメ,渋谷ハジメ,Shibuya Hajime,#ピク渋,ピク渋,fanart,Fan Art,https://hololist.net/shibuya-hajime/,hololist,0.80,NIJISANJI official profile lacks fan-art hashtags; HoloList used as supplemental source
2026-05-30,nijisanji,ANYCOLOR,にじさんじ,nijisanji:渚トラウト,渚トラウト,Nagisa Trout,#渚ドロウト,渚ドロウト,fanart,Fan Art,https://hololist.net/nagisa-trout/,hololist,0.80,NIJISANJI official profile lacks fan-art hashtags; HoloList used as supplemental source
2026-05-30,nijisanji,ANYCOLOR,にじさんじ,nijisanji:渡会雲雀,渡会雲雀,Watarai Hibari,#わたらいらすと,わたらいらすと,fanart,legacy tag_niji.csv,tag_niji.csv,legacy_csv,0.60,legacy 2023-era local mapping; use only when HoloList tag is unavailable
2026-05-30,nijisanji,ANYCOLOR,にじさんじ,nijisanji:渡会雲雀,渡会雲雀,Watarai Hibari,#秘雀絵,秘雀絵,fanart,legacy tag_niji.csv,tag_niji.csv,legacy_csv,0.60,legacy 2023-era local mapping; use only when HoloList tag is unavailable
2026-05-30,nijisanji,ANYCOLOR,にじさんじ,nijisanji:物述有栖,物述有栖,Mononobe Alice,#有栖の絵本,有栖の絵本,fanart,Fan Art,https://hololist.net/mononobe-alice/,hololist,0.80,NIJISANJI official profile lacks fan-art hashtags; HoloList used as supplemental source
2026-05-30,nijisanji,ANYCOLOR,NIJISANJI EN,nijisanji:狂蘭 メロコ,狂蘭 メロコ,Meloco Kyoran,#Melocopic,melocopic,fanart,Fan Art,https://hololist.net/meloco-kyoran/,hololist,0.80,NIJISANJI official profile lacks fan-art hashtags; HoloList used as supplemental source
2026-05-30,nijisanji,ANYCOLOR,にじさんじ,nijisanji:猫屋敷美紅,猫屋敷美紅,Nekoyashiki Miku,#みくりえいてぃぶ,みくりえいてぃぶ,fanart,Fan Art,https://hololist.net/nekoyashiki-miku/,hololist,0.80,NIJISANJI official profile lacks fan-art hashtags; HoloList used as supplemental source
2026-05-30,nijisanji,ANYCOLOR,にじさんじ,nijisanji:獅子堂あかり,獅子堂あかり,Shishido Akari,#獅子どろーいんぐ,獅子どろーいんぐ,fanart,Fan Art,https://hololist.net/shishido-akari/,hololist,0.80,NIJISANJI official profile lacks fan-art hashtags; HoloList used as supplemental source
2026-05-30,nijisanji,ANYCOLOR,にじさんじ,nijisanji:珠乃井ナナ,珠乃井ナナ,Tamanoi Nana,#珠乃イラスト,珠乃イラスト,fanart,Fan Art,https://hololist.net/tamanoi-nana/,hololist,0.80,NIJISANJI official profile lacks fan-art hashtags; HoloList used as supplemental source
2026-05-30,nijisanji,ANYCOLOR,にじさんじ,nijisanji:甲斐田晴,甲斐田晴,Kaida Haru,#描いた晴,描いた晴,fanart,Fan Art,https://hololist.net/kaida-haru/,hololist,0.80,NIJISANJI official profile lacks fan-art hashtags; HoloList used as supplemental source
2026-05-30,nijisanji,ANYCOLOR,にじさんじ,nijisanji:男虎,男虎,Onotora,#屏風の虎,屏風の虎,fanart,Fan Art,https://hololist.net/onotora/,hololist,0.80,NIJISANJI official profile lacks fan-art hashtags; HoloList used as supplemental source
2026-05-30,nijisanji,ANYCOLOR,にじさんじ,nijisanji:町田ちま,町田ちま,Machita Chima,#描いてみまちた,描いてみまちた,fanart,Fan Art,https://hololist.net/machita-chima/,hololist,0.80,NIJISANJI official profile lacks fan-art hashtags; HoloList used as supplemental source
2026-05-30,nijisanji,ANYCOLOR,にじさんじ,nijisanji:白砂あやね,白砂あやね,Shirasa Ayane,#白砂美術館,白砂美術館,fanart,Fan art,https://hololist.net/shirasa-ayane/,hololist,0.80,NIJISANJI official profile lacks fan-art hashtags; HoloList used as supplemental source
2026-05-30,nijisanji,ANYCOLOR,にじさんじ,nijisanji:白雪巴,白雪巴,Shirayuki Tomoe,#巴絵,巴絵,fanart,Fan Art,https://hololist.net/shirayuki-tomoe/,hololist,0.80,NIJISANJI official profile lacks fan-art hashtags; HoloList used as supplemental source
2026-05-30,nijisanji,ANYCOLOR,にじさんじ,nijisanji:皇れお,皇れお,Sumeragi Reo,#す絵らぎ,す絵らぎ,fanart,Fan Art,https://hololist.net/sumeragi-reo/,hololist,0.80,NIJISANJI official profile lacks fan-art hashtags; HoloList used as supplemental source
2026-05-30,nijisanji,ANYCOLOR,にじさんじ,nijisanji:矢車りね,矢車りね,Yaguruma Rine,#りねの自由帳,りねの自由帳,fanart,Fan Art,https://hololist.net/yaguruma-rine/,hololist,0.80,NIJISANJI official profile lacks fan-art hashtags; HoloList used as supplemental source
